DateTime,AddedIPs,RemovedIPs
1546716032,55,140
1546718193,40,72
1546719871,43,0
1546721313,33,62
1546722303,28,0
1546723940,33,0
1546727069,40,0
1546728742,35,0
1546731185,32,0
1546733082,44,0
1546735235,40,68
1546737137,40,0
1546738813,37,0
1546739778,20,0
1546741459,37,0
1546742451,38,71
1546745072,38,0
1546746802,46,0
1546748415,41,0
1546750367,26,45
1546752738,32,0
1546753699,41,0
1546755887,37,64
1546757770,31,0
1546759241,53,63
1546761639,46,0
1546763085,44,77
1546765943,29,0
1546768099,47,78
1546769602,30,0
1546771544,55,69
1546773877,35,65
1546775559,50,0
1546776990,37,0
1546778670,53,57
1546781071,41,64
1546782749,54,0
1546784443,52,47
1546786593,65,0
1546789728,60,43
1546791221,62,53
1546792337,49,48
1546794010,34,0
1546794996,67,44
1546796450,60,0
1546798597,34,0
1546800052,54,0
1546808190,49,99
1546825254,100,192
1546831717,100,0
1546834355,44,60
1546836293,56,0
1546838449,64,60
1546840888,66,0
1546843466,64,64
1546845850,62,0
1546847554,51,41
1546851391,56,45
1546853552,54,0
1546855237,48,64
1546857854,38,62
1546860762,61,0
1546861935,45,63
1546864364,55,0
1546866006,51,0
1546867688,54,0
1546869147,55,0
1546870843,64,0
1546872994,39,56
1546873930,47,0
1546875612,51,0
1546876886,39,0
1546878758,69,53
1546880194,58,0
1546881661,63,0
1546883088,47,36
1546884531,55,0
1546885969,68,0
1546887879,57,50
1546889560,86,0
1546890520,54,50
1546895323,70,0
1546913059,85,243
1546930575,66,142
1546940684,96,102
1546948592,72,146
1546959872,87,156
1546962272,63,47
1546967072,62,51
1546969471,57,39
1546971162,60,34
1546973312,80,0
1546975491,75,36
1546978359,65,46
1546981483,57,0
1546985568,63,88
1546988426,55,39
1546990596,63,0
1546992991,61,69
1546995413,72,51
1546997069,77,44
1546999479,77,0
1547001873,77,0
1547004027,92,0
1547005470,90,0
1547007850,61,43
1547012198,88,47
1547015528,85,43
1547021075,86,142
1547023471,104,59
1547025629,96,62
1547029240,67,72
1547033155,87,47
1547034995,52,49
1547038362,90,38
1547040061,53,104
1547041944,64,44
1547045317,77,73
1547047969,69,107
1547049651,63,0
1547050705,58,49
1547052284,56,60
1547053950,54,38
1547055640,55,0
1547057797,70,39
1547059476,49,33
1547060920,68,0
1547062366,53,101
1547063539,51,43
1547064513,61,0
1547066189,62,0
1547067874,51,96
1547068849,46,0
1547070091,36,0
1547071486,47,48
1547073167,43,43
1547074132,40,0
1547077482,41,59
1547080852,39,78
1547083465,58,56
1547087537,61,105
1547090198,59,46
1547091881,49,50
1547092876,64,37
1547093778,61,0
1547095453,48,35
1547097137,56,44
1547098814,44,0
1547100996,41,0
1547104366,44,46
1547107488,35,31
1547110357,53,98
1547111330,53,0
1547112281,74,49
1547114937,57,44
1547118259,55,0
1547119233,55,0
1547120286,47,53
1547122600,44,0
1547124259,40,0
1547126176,62,0
1547127162,57,60
1547128848,48,29
1547129787,39,0
1547131246,55,58
1547133643,68,56
1547134590,46,39
1547136051,47,51
1547136998,41,0
1547138203,50,39
1547139154,36,0
1547140125,45,48
1547141077,56,54
1547142759,46,31
1547144675,64,46
1547146350,47,43
1547148758,38,108
1547151159,59,49
1547154273,46,116
1547157151,54,122
1547158595,60,49
1547160761,64,94
1547163635,42,48
1547166753,51,55
1547171072,47,162
1547175880,44,151
1547180920,75,104
1547185954,67,100
1547190273,84,117
1547193875,57,62
1547197962,72,111
1547201083,66,126
1547204676,62,44
1547208258,74,75
1547209222,87,0
1547210201,64,0
1547211850,59,65
1547213558,62,38
1547215240,52,0
1547216203,56,36
1547217881,56,33
1547219323,60,0
1547221449,54,46
1547222980,55,44
1547224116,81,32
1547225801,60,37
1547226992,53,51
1547227971,61,0
1547229388,61,47
1547231069,32,35
1547232016,46,39
1547233002,49,41
1547234197,58,0
1547235855,49,99
1547236828,45,0
1547238283,59,30
1547239964,38,46
1547241137,82,46
1547242812,68,52
1547243776,55,0
1547245481,40,84
1547246937,43,0
1547248340,80,44
1547249564,40,76
1547251242,39,0
1547252236,58,27
1547256046,66,77
1547258922,72,72
1547261562,62,98
1547262746,52,31
1547265152,60,41
1547267070,58,69
1547268518,38,34
1547273060,57,83
1547274971,42,83
1547276665,61,73
1547280181,55,125
1547281947,79,0
1547283854,51,63
1547286248,50,88
1547287941,50,44
1547289644,37,44
1547291081,47,53
1547292736,44,44
1547295159,51,76
1547296114,29,0
1547297075,50,43
1547298763,37,35
1547300661,51,37
1547302344,54,48
1547304516,47,51
1547305486,46,45
1547307141,65,0
1547308813,36,33
1547310740,36,76
1547311716,41,35
1547313170,47,34
1547314340,41,0
1547316737,46,83
1547318683,56,80
1547320847,59,50
1547322522,48,62
1547323476,47,42
1547324423,39,38
1547327327,40,70
1547328985,30,71
1547330673,47,34
1547333570,45,76
1547336681,42,72
1547337629,33,0
1547339563,47,42
1547341935,59,89
1547343608,61,47
1547345079,53,32
1547346745,62,42
1547349143,79,45
1547350819,43,102
1547352291,41,38
1547354447,69,57
1547356354,37,40
1547358496,50,50
1547360441,67,41
1547362343,47,83
1547365946,51,82
1547368842,38,53
1547370530,51,63
1547371718,70,58
1547373387,43,64
1547376512,57,141
1547378181,49,49
1547379848,50,0
1547382157,68,80
1547383957,42,50
1547385387,40,0
1547387767,44,80
1547389946,49,44
1547390895,55,0
1547392369,41,101
1547395496,37,78
1547397888,53,44
1547398819,48,38
1547400486,53,32
1547401948,46,0
1547404359,38,80
1547406761,57,80
1547407966,41,43
1547409402,53,52
1547411081,66,47
1547413489,44,86
1547414921,49,0
1547416594,41,31
1547418256,30,39
1547420433,43,73
1547423799,41,119
1547426672,31,88
1547429075,44,41
1547431724,48,37
1547433613,41,47
1547435572,34,44
1547437469,30,43
1547440117,33,36
1547442021,39,41
1547443009,47,32
1547444909,52,0
1547446584,48,44
1547448036,41,0
1547449967,39,61
1547452095,39,36
1547453797,31,41
1547454863,48,0
1547456662,44,35
1547458354,49,0
1547460762,36,111
1547462418,48,0
1547464369,47,32
1547465292,39,52
1547466257,38,0
1547467219,37,43
1547494366,85,538
1547498918,62,74
1547509968,68,182
1547513070,65,49
1547517873,59,51
1547520970,65,49
1547527258,57,145
1547530371,69,54
1547534453,65,87
